16-10-2019 15:09:07 INFO  PStream:273 - Global variance optimization
16-10-2019 15:09:07 INFO  PStream:534 -    optimization stopped by reaching max number of iterations (no global variance applied)
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (0)  number of iterations=101
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (1)  number of iterations=2
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (2)  number of iterations=26
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (3)  number of iterations=4
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (4)  number of iterations=29
16-10-2019 15:09:07 INFO  R 1:357 - Request processed in 540 ms.
16-10-2019 15:09:07 INFO  R 1:359 -    TextToMaryXML took 0 ms
16-10-2019 15:09:07 INFO  R 1:359 -    JTokeniser took 4 ms
16-10-2019 15:09:07 INFO  R 1:359 -    Preprocess took 39 ms
16-10-2019 15:09:07 INFO  R 1:359 -    OpenNLPPosTagger took 11 ms
16-10-2019 15:09:07 INFO  R 1:359 -    JPhonemiser took 5 ms
16-10-2019 15:09:07 INFO  R 1:359 -    Prosody took 10 ms
16-10-2019 15:09:07 INFO  R 1:359 -    PronunciationModel took 3 ms
16-10-2019 15:09:07 INFO  R 1:359 -    AcousticModeller took 68 ms
16-10-2019 15:09:07 INFO  R 1:359 -    Synthesis took 393 ms
16-10-2019 15:09:14 INFO  main:373 - Shutting down modules...
16-10-2019 15:09:14 INFO  Synthesis:154 - Module shut down.
16-10-2019 15:09:14 INFO  TextToMaryXML:154 - Module shut down.
16-10-2019 15:09:14 INFO  SableParser:154 - Module shut down.
16-10-2019 15:09:14 INFO  SSMLParser:154 - Module shut down.
16-10-2019 15:09:14 INFO  APMLParser:154 - Module shut down.
16-10-2019 15:09:14 INFO  EmotionmlParser:154 - Module shut down.
16-10-2019 15:09:14 INFO  JTokeniser:154 - Module shut down.
16-10-2019 15:09:14 INFO  DummyTokens2Words:154 - Module shut down.
16-10-2019 15:09:14 INFO  Prosody:154 - Module shut down.
16-10-2019 15:09:14 INFO  PronunciationModel:154 - Module shut down.
16-10-2019 15:09:14 INFO  TargetFeatureLister:154 - Module shut down.
16-10-2019 15:09:14 INFO  TargetFeatureLister:154 - Module shut down.
16-10-2019 15:09:14 INFO  AcousticModeller:154 - Module shut down.
